playerId,playerName,deviceId,soccerFieldId,raw_time,epoch_time,session,latitude,longitude,altitude,satellite,pdop,speed,heading,accX,accY,accZ,rotX,rotY,rotZ,pitch,roll,temp,step,crc,cnt,synced
,,,,1776019860.20016694068908691,12.04.2026 18:51:00.200,1,48.24014282,16.33671188,218.69799805,28,1.15999997,0.91799998,265.03570557,8738,2042,-3694,-486,967,-70,-107.06258392,5.78286791,-400,3380,47374,43582,0
,,,,1776019860.70016670227050781,12.04.2026 18:51:00.700,1,48.24014282,16.33670807,218.67799377,28,1.11000001,0.87699997,276.13983154,10278,1180,-3202,4367,1003,-2651,-104.15275574,24.31292915,-416,3381,61757,43583,0
,,,,1776019861.20016646385192871,12.04.2026 18:51:01.200,1,48.24014664,16.33670044,218.70300293,28,1.02999997,0.50500000,291.96853638,7928,658,-2224,-2843,-1525,612,-104.93342590,24.86505890,-416,3381,10300,43584,0
,,,,1776019861.80016613006591797,12.04.2026 18:51:01.800,1,48.24014282,16.33669662,218.59899902,30,1.02999997,0.69800001,234.42886353,7456,2654,-2592,-623,255,492,-109.12459564,-6.12111855,-432,3382,52789,43521,0
,,,,1776019862.30016589164733887,12.04.2026 18:51:02.300,1,48.24014282,16.33669090,218.57600403,27,1.13999999,0.64999998,273.07086182,10380,412,-3508,4075,1088,-1768,-107.58496857,18.96652031,-448,3383,1329,43522,0
,,,,1776019862.70016574859619141,12.04.2026 18:51:02.700,1,48.24014282,16.33668709,218.54400635,27,1.03999996,0.65200001,284.12072754,7622,-604,-3516,493,-296,-27,-110.22537231,29.57269096,-432,3383,43623,43523,0
,,,,1776019863.30016541481018066,12.04.2026 18:51:03.300,1,48.24014664,16.33668518,218.50399780,29,1.01999998,0.04200000,284.79116821,7460,-882,-4148,-1513,699,364,-112.66003418,21.11548996,-448,3383,37719,43524,0
,,,,1776019863.80016517639160156,12.04.2026 18:51:03.800,1,48.24014664,16.33668709,218.44400024,31,0.99000001,0.31700000,80.12998199,7656,530,-3048,-199,645,67,-106.77320862,11.40812778,-432,3383,6985,43525,0
,,,,1776019864.30016493797302246,12.04.2026 18:51:04.300,1,48.24014664,16.33668900,218.40699768,30,0.99000001,0.36700001,84.93948364,7952,1108,-1840,-271,1040,229,-106.39140320,12.30073643,-416,3383,61090,43526,0
,,,,1776019864.80016469955444336,12.04.2026 18:51:04.800,1,48.24014664,16.33668900,218.32299805,31,1.04999995,0.19800000,123.57164001,8328,1500,-1900,189,168,-102,-102.98927307,2.50863123,-432,3383,13418,43527,0
